Dmel_CG5059	Dmel_CG1049
Dmel_CG6315	Dmel_CG1049
Dmel_CG10079	Dmel_CG10491
Dmel_CG10521	Dmel_CG10493
Dmel_CG2621	Dmel_CG10493
Dmel_CG2621	Dmel_CG10494
Dmel_CG1501	Dmel_CG10497
Dmel_CG1828	Dmel_CG10497
Dmel_CG3481	Dmel_CG10497
Dmel_CG3922	Dmel_CG10497
Dmel_CG4233	Dmel_CG10497
Dmel_CG5433	Dmel_CG10497
Dmel_CG7831	Dmel_CG10497
Dmel_CG5940	Dmel_CG10498
Dmel_CG10521	Dmel_CG10505
Dmel_CG8552	Dmel_CG10505
Dmel_CG10521	Dmel_CG10506
Dmel_CG5723	Dmel_CG10506
Dmel_CG2621	Dmel_CG10508
Dmel_CG12676	Dmel_CG10510
Dmel_CG3624	Dmel_CG10513
Dmel_CG5848	Dmel_CG10520
Dmel_CG10236	Dmel_CG10521
Dmel_CG10240	Dmel_CG10521
Dmel_CG10328	Dmel_CG10521
Dmel_CG10545	Dmel_CG10521
Dmel_CG10594	Dmel_CG10521
Dmel_CG10637	Dmel_CG10521
Dmel_CG10701	Dmel_CG10521
Dmel_CG10726	Dmel_CG10521
Dmel_CG10772	Dmel_CG10521
Dmel_CG10847	Dmel_CG10521
Dmel_CG10975	Dmel_CG10521
Dmel_CG1101	Dmel_CG10521
Dmel_CG1130	Dmel_CG10521
Dmel_CG11411	Dmel_CG10521
Dmel_CG12008	Dmel_CG10521
Dmel_CG12047	Dmel_CG10521
Dmel_CG1258	Dmel_CG10521
Dmel_CG12759	Dmel_CG10521
Dmel_CG13209	Dmel_CG10521
Dmel_CG13521	Dmel_CG10521
Dmel_CG13570	Dmel_CG10521
Dmel_CG1430	Dmel_CG10521
Dmel_CG14307	Dmel_CG10521
Dmel_CG14396	Dmel_CG10521
Dmel_CG14637	Dmel_CG10521
Dmel_CG1501	Dmel_CG10521
Dmel_CG15112	Dmel_CG10521
Dmel_CG15427	Dmel_CG10521
Dmel_CG1554	Dmel_CG10521
Dmel_CG1569	Dmel_CG10521
Dmel_CG16973	Dmel_CG10521
Dmel_CG17148	Dmel_CG10521
Dmel_CG17285	Dmel_CG10521
Dmel_CG17632	Dmel_CG10521
Dmel_CG1768	Dmel_CG10521
Dmel_CG17957	Dmel_CG10521
Dmel_CG18000	Dmel_CG10521
Dmel_CG18076	Dmel_CG10521
Dmel_CG18085	Dmel_CG10521
Dmel_CG1849	Dmel_CG10521
Dmel_CG18572	Dmel_CG10521
Dmel_CG18734	Dmel_CG10521
Dmel_CG18740	Dmel_CG10521
Dmel_CG1945	Dmel_CG10521
Dmel_CG2028	Dmel_CG10521
Dmel_CG2175	Dmel_CG10521
Dmel_CG2179	Dmel_CG10521
